ANSP / Drexel ID,Neotoma Site ID,Site name,Neotoma Diatom Dataset Id,Neotoma Water Chemistry Dataset ID
37,24281,Allegheny Reservoir,42748,
37,24307,Atwood,42780,
37,8587,Bald Hill,42844,
37,24348,Barber Pond,42825,
37,24324,Beaver Pond,42798,
37,13096,Billings Lake ,42757,
37,23285,Bissonette Pond,42749,
37,24306,Black,42779,
37,13057,Blackamore Pond,42828,
37,24372,Blake (Sutton),42853,
37,24322,Brindle Pond,42796,
37,24342,Brown Lake,42818,
37,24336,Catfish Pond,42812,
37,24343,Clamshell Pond,42819,
37,24304,Cranberry,42777,
37,24315,CROSBY P,42788,
37,24285,Deep Lake,42754,
37,24296,Eighth  Debsconeag,42768,
37,24325,Ellsworth Pond,42799,
37,24312,Fourth St John Pond,42785,
37,24289,Garnet Lake,42759,
37,24305,Gilman,42778,
37,24314,Gould Pond,42787,
37,24287,Grays Pond,42756,
37,24284,Halls Pond,42753,
37,24303,Havener,42776,
37,24369,High (sudbry),42850,
37,24326,Hills Pond,42800,
37,24363,Holland,42843,
37,24295,Hudson Pond,42766,
37,24346,Keech Pond,42822,
37,24328,Kilburn Pond,42802,
37,24341,Koehler's Pond,42817,
37,24339,Lake Sarah,42815,
37,24335,Lake Stockwell,42811,
37,24338,Lake Success,42814,
37,24331,Lake Tranquility,42807,
37,24320,Lake Winnisquam,42793,
37,24549,Lake Zoar,42755,
37,24290,Lawsons Lake,42760,
37,13049,Little Averill,42835,
37,24294,Little Big Wood Pond,42765,
37,24319,Little Greenough Pond,42792,
37,24362,Little Hosmer,42842,
37,24300,Little Pond,42772,
37,24299,Little Watchic,42771,
37,24360,Long (GRNSBO),42840,
37,24368,Long (SHEFLD),42849,
37,24291,Long Pond,42761,
37,24291,Long Pond,42805,
37,24291,Long Pond,42804,
37,24577,Lower Middle Branch,42763,
37,24292,Lower Spectacle Pond,42762,
37,24334,Maple Lake,42810,
37,24311,McLean,42784,
37,24355,Miles Pond,42833,
37,24333,Mirror Lake,42809,
37,13054,Morris Reservoir,42752,
37,24332,Mount Hope Lake,42808,
37,24344,Mud Pond,42820,
37,24310,Myrick,42783,
37,24317,Nassau Lake,42790,
37,24309,Nelson 3610,42782,
37,24357,NHD2267,42837,
37,24323,Ottarnic Pond,42797,
37,24288,Pattaconk Lake,42758,
37,24350,Peace Dale Reservoir,42827,
37,24293,Peaked Mountian Pond,42764,
37,24321,Pequawket Pond,42795,
37,24316,PERLEY POND,42789,
37,1450,Pleasant pond 3446,42767,
37,24340,Point View Reservoir,42816,
37,24351,Posneganset Pond,42829,
37,24349,Randall Pond,42826,
37,24359,Rescue,42839,
37,24356,Richmond,42836,
37,24282,Riga Lake,42750,
37,24352,Rockland Lake,42830,
37,24367,Round (SHEFLD),42848,
37,24353,Round Lake,42831,
37,24366,Schofield,42847,
37,24298,Second buttermilk,42770,
37,23152,Silver (Leictr),42834,
37,24347,Silver Lake,42824,
37,13061,Sip Pond ,42794,
37,24308,Skitacook,42781,
37,23156,Slatersville Reservoir (Upper),42823,
37,24345,Sly Pond,42821,
37,24313,Smiths Mill,42786,
37,24370,Spruce (Orwell),42851,
37,24365,Stannard,42846,
37,24337,Sunset Lake,42813,
37,24330,Third CT Lake,42806,
37,24297,Three corner pond 5384,42769,
